Name,Location,city,latitude,longitude,,1313
Residence Inn Marriott New York Downtown Manhattan/WTC Area,170 Broadway,New York,40.7097,-74.0101,,Residence Inn Marriott New York Downtown Manhattan/WTC Area
Midtown West Vacation Rentals,Various Addresses,New York,40.79,-73.9488,,Midtown West Vacation Rentals
Edge Hotel,514 W. 168th St.,New York,40.8402,-73.9378,,Edge Hotel
Q&A Residential Hotel,70 Pine Street,New York,40.7063,-74.0079,,Q&A Residential Hotel
Holiday Inn Manhattan-Financial District,99 Washington St,New York,40.7083,-74.0144,,Holiday Inn Manhattan-Financial District
Aloft Manhattan Downtown - Financial District,49-53 Ann Street,New York,40.7103,-74.0068,,Aloft Manhattan Downtown - Financial District
RIFF Downtown,102 Greenwich Street,New York,40.7083,-74.0134,,RIFF Downtown
Jet Luxury at the Trump SoHo,246 Spring Street,New York,40.7256,-74.0055,,Jet Luxury at the Trump SoHo
The Central Park North,137 W 111th street,New York,40.7995,-73.9535,,The Central Park North
Morningside Inn,235 W 107th St.,New York,40.8018,-73.9667,,Morningside Inn
Beautiful Studio Near Central Park,244 East 71st Street,New York,40.7682,-73.9592,,Beautiful Studio Near Central Park
Fairfield Inn & Suites New York Manhattan / Central Park,538 W 58th St,New York,40.7705,-73.9897,,Fairfield Inn & Suites New York Manhattan / Central Park
Vacayo Affordable East Side Apartments,Various Addresses,New York,40.7267,-73.9831,,Vacayo Affordable East Side Apartments
Vacayo Affordable West Side Apartments,Various Addresses,New York,40.7128,-74.0059,,Vacayo Affordable West Side Apartments
3 West Club,3 W 51st Street,New York,40.7597,-73.9773,,3 West Club
The Melva Inn - Harlem,68 West 120 Street,New York,40.8042,-73.9469,,The Melva Inn - Harlem
Bryant Park Studio Apartment next to Times Square,West 38th Street and 6th Avenue,New York,40.7523,-73.9859,,Bryant Park Studio Apartment next to Times Square
Courtyard New York Downtown Manhattan/World Trade Center,133 Greenwich Street,New York,40.7094,-74.013,,Courtyard New York Downtown Manhattan/World Trade Center
Central Park West Hostel,201 W 87th Street,New York,40.7885,-73.9748,,Central Park West Hostel
EVEN Hotel New York- Midtown East,221 East 44th Street,New York,40.7517,-73.9725,,EVEN Hotel New York- Midtown East
HGU New York,34 East 32nd Street,New York,40.7462,-73.9832,,HGU New York
