Name,Location,city,latitude,longitude,,1313
Hilton Garden Inn Albany/SUNY Area,1389 Washington Ave,Albany,42.6875,-73.8164,,Hilton Garden Inn Albany/SUNY Area
Courtyard by Marriott Albany Thruway,1455 Washington Avenue,Albany,42.6897,-73.8202,,Courtyard by Marriott Albany Thruway
Radisson Hotel Albany,205 Wolf Rd,Albany,42.7241,-73.7982,,Radisson Hotel Albany
Hilton Garden Inn Albany Medical Center,62 New Scotland Ave,Albany,42.6516,-73.7764,,Hilton Garden Inn Albany Medical Center
CrestHill Suites SUNY University Albany,1415 Washington Avenue,Albany,42.6887,-73.8185,,CrestHill Suites SUNY University Albany
The Desmond Hotel Albany,660 Albany Shaker Rd,Albany,42.7287,-73.7981,,The Desmond Hotel Albany
Ramada Plaza Albany,3 Watervliet Avenue Ext,Albany,42.6803,-73.7844,,Ramada Plaza Albany
Hampton Inn & Suites Albany-Downtown,25 Chapel St,Albany,42.6533,-73.7514,,Hampton Inn & Suites Albany-Downtown
Albany Marriott,189 Wolf Rd,Albany,42.7211,-73.8004,,Albany Marriott
Best Western Sovereign Hotel - Albany,1228 Western Ave,Albany,42.6781,-73.8282,,Best Western Sovereign Hotel - Albany
Express Inn & Suites,16 Wolf Rd,Albany,42.7096,-73.821,,Express Inn & Suites
Hilton Albany,40 Lodge Street,Albany,42.6508,-73.7538,,Hilton Albany
Holiday Inn Express Albany Downtown,300 Broadway,Albany,42.6456,-73.7499,,Holiday Inn Express Albany Downtown
Residence Inn Albany Washington Avenue,124 Washington Avenue Extension,Albany,42.6931,-73.8494,,Residence Inn Albany Washington Avenue
Courtyard by Marriott Albany Airport,168 Wolf Rd,Albany,42.7223,-73.8033,,Courtyard by Marriott Albany Airport
"Cocca's Inn & Suites Wolf Rd, Albany Airport",2 Wolf Road,Albany,42.709,-73.8221,,"Cocca's Inn & Suites Wolf Rd, Albany Airport"
Days Inn and Suites Albany,1606 Central Avenue,Albany,42.7184,-73.8338,,Days Inn and Suites Albany
Howard Johnson Inn - Albany,1614 Central Ave,Albany,42.7191,-73.8346,,Howard Johnson Inn - Albany
Hampton Inn Albany-Western Ave/University Area,1442 Western Ave,Albany,42.6803,-73.8353,,Hampton Inn Albany-Western Ave/University Area
TownePlace Suites by Marriott Albany University Area,1379 Washington Ave,Albany,42.6867,-73.8151,,TownePlace Suites by Marriott Albany University Area
Travelodge Inn And Suites Albany,42 Wolf Road,Albany,42.7119,-73.8171,,Travelodge Inn And Suites Albany
Red Roof Inn Albany Airport,188 Wolf Rd,Albany,42.724,-73.801,,Red Roof Inn Albany Airport
Best Western Albany Airport Inn,200 Wolf Rd,Albany,42.7218,-73.8024,,Best Western Albany Airport Inn
Hampton Inn Albany-Wolf Road (Airport),10 Ulenski Dr,Albany,42.7244,-73.7966,,Hampton Inn Albany-Wolf Road (Airport)
Days Inn Albany SUNY,1230 Western Avenue,Albany,42.6782,-73.8284,,Days Inn Albany SUNY
Homewood Suites by Hilton Albany,216 Wolf Rd,Albany,42.7252,-73.7982,,Homewood Suites by Hilton Albany
Extended Stay America - Albany - SUNY,1395 Washington Ave,Albany,42.688,-73.8173,,Extended Stay America - Albany - SUNY
SpringHill Suites by Marriott Albany-Colonie,8 California Ave,Albany,42.7037,-73.8158,,SpringHill Suites by Marriott Albany-Colonie
Quality Inn Central,1632 Central Ave,Albany,42.7198,-73.8353,,Quality Inn Central
Econo Lodge Colonie Center Mall,1630 Central Ave,Albany,42.7195,-73.835,,Econo Lodge Colonie Center Mall
TownePlace Suites by Marriott Albany Downtown/Medical Center,22 Holland Ave,Albany,42.6465,-73.7721,,TownePlace Suites by Marriott Albany Downtown/Medical Center
Fairfield Inn by Marriott Albany University Area,1383 Washington Avenue,Albany,42.6868,-73.8151,,Fairfield Inn by Marriott Albany University Area
Motel 6 - Albany Airport,1600 Central Ave,Albany,42.7178,-73.8332,,Motel 6 - Albany Airport
"Motel 6 Albany, New York",100 Watervliet Ave,Albany,42.6797,-73.783,,"Motel 6 Albany, New York"
Home2 Suites by Hilton Albany Airport/Wolf Rd,10 Metro Park Road,Albany,42.7185,-73.8002,,Home2 Suites by Hilton Albany Airport/Wolf Rd
Staybridge Suites Albany Wolf Rd-Colonie Center,39 Wolf Rd,Albany,42.7114,-73.8181,,Staybridge Suites Albany Wolf Rd-Colonie Center
Fairfield Inn & Suites by Marriott Albany Downtown,74 State Street,Albany,42.6496,-73.7522,,Fairfield Inn & Suites by Marriott Albany Downtown
Renaissance Albany Hotel,144 State Street,Albany,42.6508,-73.7559,,Renaissance Albany Hotel
Red Carpet Inn & Suites - Albany Airport,1579 Central Avenue,Albany,42.7167,-73.8305,,Red Carpet Inn & Suites - Albany Airport
Gallets House B&B,1759 Four Mile Rd,Allegany,42.0767,-78.4966,,Gallets House B&B
Tailwater Lodge,52 Pulaski St,Altmar,43.5138,-76.005,,Tailwater Lodge
Homewood Suites by Hilton Buffalo/Amherst,1138 Millersport Hwy,Amherst,42.9824,-78.7964,,Homewood Suites by Hilton Buffalo/Amherst
DoubleTree by Hilton Hotel Buffalo - Amherst,10 Flint Rd,Amherst,42.9903,-78.7922,,DoubleTree by Hilton Hotel Buffalo - Amherst
Comfort Inn University,1 Flint Rd,Amherst,42.9906,-78.7922,,Comfort Inn University
Red Roof Inn PLUS+ University at Buffalo - Amherst,42 Flint Rd,Amherst,42.9899,-78.7924,,Red Roof Inn PLUS+ University at Buffalo - Amherst
Residence Inn Buffalo Amherst,100 Maple Rd,Amherst,42.9914,-78.784,,Residence Inn Buffalo Amherst
Buffalo Marriott Niagara,1340 Millersport Hwy,Amherst,42.9889,-78.7916,,Buffalo Marriott Niagara
Extended Stay America - Buffalo - Amherst,125 Inn Keepers Ln,Amherst,43.0057,-78.8183,,Extended Stay America - Buffalo - Amherst
Staybridge Suites Buffalo-Amherst,1290 Sweethome Rd,Amherst,42.997,-78.7998,,Staybridge Suites Buffalo-Amherst
Courtyard by Marriott Buffalo Amherst/University,4100 Sheridan Dr,Amherst,42.9785,-78.7808,,Courtyard by Marriott Buffalo Amherst/University
Sleep Inn,75 Inn Keepers Ln,Amherst,43.0064,-78.8191,,Sleep Inn
Motel 6 Buffalo - Amherst,4400 Maple Rd,Amherst,42.9907,-78.8019,,Motel 6 Buffalo - Amherst
Rodeway Inn & Suites,1951 Niagara Falls Blvd,Amherst,43.0075,-78.8222,,Rodeway Inn & Suites
University Manor Inn,3612 Main Street,Amherst,42.9591,-78.8151,,University Manor Inn
Hyatt Place Buffalo/Amherst,5020 Main Street,Amherst,42.9593,-78.7699,,Hyatt Place Buffalo/Amherst
Candlewood Suites Buffalo - Amherst,20 Flint Road,Amherst,42.9903,-78.7923,,Candlewood Suites Buffalo - Amherst
Super 8 - Amsterdam,5502 Rte 30 South I 90 Exit 27,Amsterdam,42.9256,-74.2023,,Super 8 - Amsterdam
Knights Inn Amsterdam,Route 5S,Amsterdam,42.9289,-74.2007,,Knights Inn Amsterdam
Comfort Inn,7662 State Rte 434,Apalachin,42.0611,-76.1436,,Comfort Inn
Quality Inn Binghamton West,7666 Route 434,Apalachin,42.0599,-76.1439,,Quality Inn Binghamton West
Ardsley Acres Hotel Westchester,560 Saw Mill River Rd,Ardsley,41.0087,-73.8515,,Ardsley Acres Hotel Westchester
La Quinta inn & Suites Armonk Westchester County Airport,94 Business Park Dr,Armonk,41.1197,-73.7083,,La Quinta inn & Suites Armonk Westchester County Airport
Fairfield Inn by Marriott New York LaGuardia Airport/Astoria,45-20 Astoria Blvd.,Astoria,40.7679,-73.9056,,Fairfield Inn by Marriott New York LaGuardia Airport/Astoria
"Super 8 Long Island City, LGA Hotel",31-62 14th Street,Astoria,40.7668,-73.9335,,"Super 8 Long Island City, LGA Hotel"
Stewart House at the Athens Hotel,2 North Water Street,Athens,42.2598,-73.808,,Stewart House at the Athens Hotel
Hilton Garden Inn Auburn,74 State St,Auburn,42.9331,-76.5695,,Hilton Garden Inn Auburn
Days Inn Auburn Fingerlakes,37 William St,Auburn,42.9283,-76.5663,,Days Inn Auburn Fingerlakes
Auburn Inn,19 McMaster St,Auburn,42.932,-76.5738,,Auburn Inn
Holiday Inn Auburn-Finger Lakes Region,75 North St,Auburn,42.9346,-76.5664,,Holiday Inn Auburn-Finger Lakes Region
Skaneateles Suites,4114 E Genesee Street,Auburn,42.9429,-76.4695,,Skaneateles Suites
Inn at the Finger Lakes,12 Seminary Ave,Auburn,42.9342,-76.5623,,Inn at the Finger Lakes
The Red Mill Inn,4 Syracuse St,Baldwinsville,43.1561,-76.332,,The Red Mill Inn
Microtel Inn & Suites by Wyndham Baldwinsville/Syracuse,131 Downer St,Baldwinsville,43.1513,-76.3453,,Microtel Inn & Suites by Wyndham Baldwinsville/Syracuse
Baldwinsville Bed and Breakfast,70 Oswego Street,Baldwinsville,43.161,-76.3338,,Baldwinsville Bed and Breakfast
Roosevelt Inn And Suites,2961 State Route 9,Ballston Spa,43.0271,-73.7924,,Roosevelt Inn And Suites
Catskill Mountains Resort,211 Mail Rd,Barryville,41.5076,-74.923,,Catskill Mountains Resort
Hampton Inn Batavia,4360 Commerce Dr,Batavia,43.0201,-78.1943,,Hampton Inn Batavia
Best Western Crown Inn & Suites,8210 Park Rd,Batavia,43.0166,-78.1955,,Best Western Crown Inn & Suites
Holiday Inn Express Hotel & Suites Batavia - Darien Lake,4356 Commerce Dr,Batavia,43.0198,-78.1943,,Holiday Inn Express Hotel & Suites Batavia - Darien Lake
Comfort Inn,4371 Federal Dr,Batavia,43.021,-78.1927,,Comfort Inn
La Quinta Inn & Suites Batavia,8200 Park Rd,Batavia,43.0161,-78.1922,,La Quinta Inn & Suites Batavia
Quality Inn & Suites Palm Island Indoor Waterpark,8250 Park Rd,Batavia,43.0164,-78.1941,,Quality Inn & Suites Palm Island Indoor Waterpark
Red Roof Inn Batavia,8204 Park Rd,Batavia,43.0161,-78.1923,,Red Roof Inn Batavia
Super 8 Batavia E Of Darien Lake Theme Park,200a Oak St,Batavia,43.0146,-78.1921,,Super 8 Batavia E Of Darien Lake Theme Park
Days Inn Batavia,200 Oak St,Batavia,43.0146,-78.1921,,Days Inn Batavia
Microtel Inn & Suites by Wyndham Bath,370 W Morris Street,Bath,42.3396,-77.3343,,Microtel Inn & Suites by Wyndham Bath
Super 8 Bath Hammondsport Area,333 W Morris Street,Bath,42.3362,-77.3294,,Super 8 Bath Hammondsport Area
Days Inn Bath Hammondsport,330 W Morris St,Bath,42.3362,-77.3294,,Days Inn Bath Hammondsport
Budget Inn Bath,332 W. Morris Street,Bath,42.3366,-77.3304,,Budget Inn Bath
Bay Shore Inn,300 Bay Shore Rd,Bay Shore,40.7322,-73.2766,,Bay Shore Inn
Travelodge Bay Shore Long Island,501 E Main Street,Bay Shore,40.7273,-73.2314,,Travelodge Bay Shore Long Island
Adria Hotel And Conference Center,221-17 Northern Blvd,Bayside,40.7618,-73.7597,,Adria Hotel And Conference Center
Anchor Inn,215-34 Northern Blvd,Bayside,40.7608,-73.7661,,Anchor Inn
Best Western Queens Gold Coast,220-33 Northern Blvd,Bayside,40.7617,-73.7606,,Best Western Queens Gold Coast
The Roundhouse,2 E Main St,Beacon,41.5025,-73.9625,,The Roundhouse
Bellerose Inn,249-05 Jericho Turnpike,Bellerose,40.7266,-73.7156,,Bellerose Inn
SpringHill Suites by Marriott Long Island Brookhaven,2 Sawgrass Dr,Bellport,40.8086,-72.9477,,SpringHill Suites by Marriott Long Island Brookhaven
Maple Springs Lake Side Inn,4696 Chautauqua Avenue,Bemus Point,42.1931,-79.4179,,Maple Springs Lake Side Inn
Extended Stay America - Long Island - Bethpage,905 S Oyster Bay Rd,Bethpage,40.76,-73.4999,,Extended Stay America - Long Island - Bethpage
Motel 6 Binghamton,1012 Upper Front Street,Binghamton,42.1423,-75.9037,,Motel 6 Binghamton
Holiday Inn Binghamton - Downtown (Hawley St.),2-8 Hawley Street,Binghamton,42.0975,-75.9149,,Holiday Inn Binghamton - Downtown (Hawley St.)
DoubleTree by Hilton Hotel Binghamton,225 Water St,Binghamton,42.1009,-75.9147,,DoubleTree by Hilton Hotel Binghamton
Fairfield Inn by Marriott Binghamton,864 Upper Front St,Binghamton,42.1303,-75.9058,,Fairfield Inn by Marriott Binghamton
Comfort Inn Binghamton,1000 Upper Front St,Binghamton,42.1416,-75.9038,,Comfort Inn Binghamton
Econo Lodge Inn And Suites,690 Old Front St,Binghamton,42.1253,-75.9092,,Econo Lodge Inn And Suites
Red Roof Inn Binghamton North,650 Old Front St,Binghamton,42.1245,-75.9098,,Red Roof Inn Binghamton North
Park House Bed and Breakfast,85 Park Street,Binghamton,42.109,-75.9455,,Park House Bed and Breakfast
Microtel Inn & Suites By Wyndham Binghamton,400 Prospect Street,Binghamton,42.1189,-75.9454,,Microtel Inn & Suites By Wyndham Binghamton
Econo Lodge South,4344 Milestrip Rd.,Blasdell,42.7899,-78.8178,,Econo Lodge South
La Quinta Inn & Suites Islip-MacArthur Airport,10 Aero Rd,Bohemia,40.7799,-73.0955,,La Quinta Inn & Suites Islip-MacArthur Airport
Lakeland Inn,1630 Lakeland Avenue,Bohemia,40.7849,-73.1138,,Lakeland Inn
Highlands Castle,19 Skyline Drive,Bolton Landing,43.5646,-73.6644,,Highlands Castle
Red Roof Inn Buffalo - Niagara Airport,146 Maple Drive,Bowmansville,42.949,-78.694,,Red Roof Inn Buffalo - Niagara Airport
Days Inn Brewerton/Syracuse/Airport,5552 Bartel Rd,Brewerton,43.2327,-76.1336,,Days Inn Brewerton/Syracuse/Airport
Topping Rose House,One Bridgehampton - Sag Harbor Turnpike,Bridgehampton,40.9378,-72.3007,,Topping Rose House
Playland Motel,97-20 Rockaway Beach Blvd,Broad Channel,40.5874,-73.8125,,Playland Motel
Dollingers Inn & Suites,4908 Lake Rd S,Brockport,43.1944,-77.944,,Dollingers Inn & Suites
"Hampton Inn Brockport, NY",4873 Lake Rd S,Brockport,43.1943,-77.944,,"Hampton Inn Brockport, NY"
Econo Lodge Brockport,6575 4th Section Rd,Brockport,43.1984,-77.9461,,Econo Lodge Brockport
Opera House Hotel,436 East 149th Street,Bronx,40.8153,-73.9159,,Opera House Hotel
Rodeway Inn Bronx Zoo,3070-72 Webster Ave,Bronx,40.8705,-73.8779,,Rodeway Inn Bronx Zoo
Ramada Bronx,1000 Baychester Ave,Bronx,40.8798,-73.8319,,Ramada Bronx
Days Inn Bronx Near Stadium,997 Brook Ave,Bronx,40.8269,-73.9118,,Days Inn Bronx Near Stadium
Howard Johnson Express Inn Bronx,1922 Boston Rd,Bronx,40.8396,-73.8815,,Howard Johnson Express Inn Bronx
Bronx Guesthouse,East 233 Street,Bronx,40.8919,-73.8527,,Bronx Guesthouse
Sheridan Hotel,1440 Sheridan Expy,Bronx,40.8311,-73.8848,,Sheridan Hotel
Super 8 Bronx,1145 Southern Blvd,Bronx,40.8277,-73.8919,,Super 8 Bronx
Residence Inn New York The Bronx At Metro Center Atrium,1776 Eastchester Rd,Bronx,40.8496,-73.8436,,Residence Inn New York The Bronx At Metro Center Atrium
"Umbrella Hotel, An Ascend Hotel Collection Member",681 Elton Ave,Bronx,40.8189,-73.9147,,"Umbrella Hotel, An Ascend Hotel Collection Member"
Sheraton Brooklyn New York Hotel,228 Duffield Street,Brooklyn,40.6916,-73.9844,,Sheraton Brooklyn New York Hotel
