Name,Location,city,latitude,longitude
Catskill Mountains Resort,211 Mail Rd,Barryville,41.5076,-74.9230
Hampton Inn Batavia,4360 Commerce Dr,Batavia,43.0201,-78.1943
Best Western Crown Inn & Suites,8210 Park Rd,Batavia,43.0166,-78.1955
Holiday Inn Express Hotel & Suites Batavia - Darien Lake,4356 Commerce Dr,Batavia,43.0198,-78.1943
Comfort Inn,4371 Federal Dr,Batavia,43.0210,-78.1927
La Quinta Inn & Suites Batavia,8200 Park Rd,Batavia,43.0161,-78.1922
Quality Inn & Suites Palm Island Indoor Waterpark,8250 Park Rd,Batavia,43.0164,-78.1941
Red Roof Inn Batavia,8204 Park Rd,Batavia,43.0161,-78.1923
Super 8 Batavia E Of Darien Lake Theme Park,200a Oak St,Batavia,43.0146,-78.1921
Days Inn Batavia,200 Oak St,Batavia,43.0146,-78.1921
Microtel Inn & Suites by Wyndham Bath,370 W Morris Street,Bath,42.3396,-77.3343
Super 8 Bath Hammondsport Area,333 W Morris Street,Bath,42.3362,-77.3294
Days Inn Bath Hammondsport,330 W Morris St,Bath,42.3362,-77.3294
Budget Inn Bath,332 W. Morris Street,Bath,42.3366,-77.3304
Bay Shore Inn,300 Bay Shore Rd,Bay Shore,40.7322,-73.2766
Travelodge Bay Shore Long Island,501 E Main Street,Bay Shore,40.7273,-73.2314
Adria Hotel And Conference Center,221-17 Northern Blvd,Bayside,40.7618,-73.7597
Anchor Inn,215-34 Northern Blvd,Bayside,40.7608,-73.7661
Best Western Queens Gold Coast,220-33 Northern Blvd,Bayside,40.7617,-73.7606
The Roundhouse,2 E Main St,Beacon,41.5025,-73.9625
Bellerose Inn,249-05 Jericho Turnpike,Bellerose,40.7266,-73.7156
SpringHill Suites by Marriott Long Island Brookhaven,2 Sawgrass Dr,Bellport,40.8086,-72.9477
Maple Springs Lake Side Inn,4696 Chautauqua Avenue,Bemus Point,42.1931,-79.4179
Extended Stay America - Long Island - Bethpage,905 S Oyster Bay Rd,Bethpage,40.7600,-73.4999
Motel 6 Binghamton,1012 Upper Front Street,Binghamton,42.1423,-75.9037
Holiday Inn Binghamton - Downtown (Hawley St.),2-8 Hawley Street,Binghamton,42.0975,-75.9149
DoubleTree by Hilton Hotel Binghamton,225 Water St,Binghamton,42.1009,-75.9147
Fairfield Inn by Marriott Binghamton,864 Upper Front St,Binghamton,42.1303,-75.9058
Comfort Inn Binghamton,1000 Upper Front St,Binghamton,42.1416,-75.9038
Econo Lodge Inn And Suites,690 Old Front St,Binghamton,42.1253,-75.9092
Red Roof Inn Binghamton North,650 Old Front St,Binghamton,42.1245,-75.9098
Park House Bed and Breakfast,85 Park Street,Binghamton,42.1090,-75.9455
Microtel Inn & Suites By Wyndham Binghamton,400 Prospect Street,Binghamton,42.1189,-75.9454
Econo Lodge South,4344 Milestrip Rd.,Blasdell,42.7899,-78.8178
La Quinta Inn & Suites Islip-MacArthur Airport,10 Aero Rd,Bohemia,40.7799,-73.0955
Lakeland Inn,1630 Lakeland Avenue,Bohemia,40.7849,-73.1138
Highlands Castle,19 Skyline Drive,Bolton Landing,43.5646,-73.6644
Red Roof Inn Buffalo - Niagara Airport,146 Maple Drive,Bowmansville,42.9490,-78.6940
Days Inn Brewerton/Syracuse/Airport,5552 Bartel Rd,Brewerton,43.2327,-76.1336
Topping Rose House,One Bridgehampton - Sag Harbor Turnpike,Bridgehampton,40.9378,-72.3007
Playland Motel,97-20 Rockaway Beach Blvd,Broad Channel,40.5874,-73.8125
Dollingers Inn & Suites,4908 Lake Rd S,Brockport,43.1944,-77.9440
"Hampton Inn Brockport, NY",4873 Lake Rd S,Brockport,43.1943,-77.9440
Econo Lodge Brockport,6575 4th Section Rd,Brockport,43.1984,-77.9461
Opera House Hotel,436 East 149th Street,Bronx,40.8153,-73.9159
Rodeway Inn Bronx Zoo,3070-72 Webster Ave,Bronx,40.8705,-73.8779
Ramada Bronx,1000 Baychester Ave,Bronx,40.8798,-73.8319
Days Inn Bronx Near Stadium,997 Brook Ave,Bronx,40.8269,-73.9118
Howard Johnson Express Inn Bronx,1922 Boston Rd,Bronx,40.8396,-73.8815
Bronx Guesthouse,East 233 Street,Bronx,40.8919,-73.8527
Sheridan Hotel,1440 Sheridan Expy,Bronx,40.8311,-73.8848
Super 8 Bronx,1145 Southern Blvd,Bronx,40.8277,-73.8919
Residence Inn New York The Bronx At Metro Center Atrium,1776 Eastchester Rd,Bronx,40.8496,-73.8436
"Umbrella Hotel, An Ascend Hotel Collection Member",681 Elton Ave,Bronx,40.8189,-73.9147
Sheraton Brooklyn New York Hotel,228 Duffield Street,Brooklyn,40.6916,-73.9844
Best Western Plus Arena Hotel,1324 Atlantic Ave,Brooklyn,40.6783,-73.9486
Aloft New York Brooklyn,216 Duffield St,Brooklyn,40.6917,-73.9844
NU Hotel Brooklyn,85 Smith St,Brooklyn,40.6889,-73.9890
Hotel BPM - Brooklyn New York,139 33rd street,Brooklyn,40.6565,-74.0035
McCarren Hotel & Pool,160 N 12th St,Brooklyn,40.7210,-73.9554
"Union Hotel, an Ascend Hotel Collection Member",611 DeGraw St,Brooklyn,40.6791,-73.9832
Holiday Inn Express Brooklyn,625 Union St,Brooklyn,40.6780,-73.9845
Hotel Le Bleu,370 Fourth Ave,Brooklyn,40.6730,-73.9866
Condor Hotel,56 Franklin Ave,Brooklyn,40.6975,-73.9586
Hotel Indigo BROOKLYN,229 Duffield St,Brooklyn,40.6912,-73.9844
Sleep Inn Brooklyn Downtown,134 22nd St,Brooklyn,40.6631,-73.9978
La Quinta Inn & Suites Brooklyn Downtown,533 3rd Ave,Brooklyn,40.6688,-73.9932
The Box House Hotel,77 Box Street,Brooklyn,40.7375,-73.9533
Hotel Le Jolie,235 Meeker Ave,Brooklyn,40.7164,-73.9508
Super 8 Brooklyn / Park Slope Hotel,267 3rd Ave,Brooklyn,40.6778,-73.9858
Red Lion Inn and Suites Brooklyn,279 Butler St,Brooklyn,40.6813,-73.9849
Best Western Gregory Hotel,8315 4th Ave,Brooklyn,40.6245,-74.0277
Pointe Plaza Hotel,2 Franklin Ave,Brooklyn,40.6991,-73.9590
International Students Residence,341 Broadway,Brooklyn,40.7078,-73.9562
Comfort Inn Red Hook,17 Seabring Street,Brooklyn,40.6802,-74.0058
"Brooklyn Way Hotel, BW Premier Collection",764 4th Ave,Brooklyn,40.6600,-73.9987
Fairfield Inn & Suites by Marriott New York Brooklyn,181 3rd Ave,Brooklyn,40.6806,-73.9839
Galaxy Motel,860 Pennsylvania Avenue,Brooklyn,40.6568,-73.8894
Days Inn Brooklyn,437 39th Street,Brooklyn,40.6520,-74.0052
New York Marriott at the Brooklyn Bridge,333 Adams St,Brooklyn,40.6937,-73.9887
Red Carpet Inn New York City,980 Wyckoff Ave,Brooklyn,40.6959,-73.9047
Oasis Motel in Brooklyn,12091 Flatlands Ave,Brooklyn,40.6523,-73.8874
Lexington Inn - Brooklyn NY,2473 Atlantic Ave,Brooklyn,40.6760,-73.9032
Sankofa Aban Bed and Breakfast,107 Macon Street,Brooklyn,40.6814,-73.9470
Lefferts Gardens Residence Bed and Breakfast,44 Rutland Road,Brooklyn,40.6589,-73.9591
The Missing Lantern,1156 Dean St,Brooklyn,40.6769,-73.9513
Riviera Motor Inn Brooklyn,2969 Atlantic Ave,Brooklyn,40.6782,-73.8842
Brooklyn Motor Inn,140 Hamilton Ave,Brooklyn,40.6818,-74.0061
Henry Norman Hotel,251 North Henry Street,Brooklyn,40.7280,-73.9440
Hotel Lynx,1420 Atlantic Avenue,Brooklyn,40.6781,-73.9450
Hampton Inn Brooklyn Downtown NY,125 Flatbush Avenue Extension,Brooklyn,40.6954,-73.9841
Green Point YMCA,99 Meserole Avenue,Brooklyn,40.7270,-73.9532
Comfort Inn Brooklyn City Center,599 Utica Ave,Brooklyn,40.6589,-73.9311
Bklyn House,9 Beaver Street,Brooklyn,40.7008,-73.9395
La Quinta Inn & Suites Brooklyn East,1412 Pitkin Ave,Brooklyn,40.6686,-73.9220
Oyo Bed & Breakfast,1390 Bedford Avenue,Brooklyn,40.6757,-73.9533
Sumner Hotel,22 Sumner Place,Brooklyn,40.7009,-73.9406
Habitat 101,101 Sutton Street,Brooklyn,40.7265,-73.9408
Cesar Suites at New York South,381 S 3rd St,Brooklyn,40.7088,-73.9523
Sleep Inn Prospect Park South,1118 36th St,Brooklyn,40.6442,-73.9877
Quality Inn,95 Chester Street,Brooklyn,40.6693,-73.9116
Americas Best Value Inn,1705 Linden Boulevard,Brooklyn,40.6574,-73.8993
The Brooklyn,1199 Atlantic Avenue,Brooklyn,40.6787,-73.9512
Best Western Plus Brooklyn Bay Hotel,3003 Emmons Avenue,Brooklyn,40.5840,-73.9382
Vacation Rental in New York,416 Van Siclen Avenue,Brooklyn,40.6693,-73.8895
Holiday Inn Brooklyn Downtown,300 Schermerhorn Road,Brooklyn,40.6876,-73.9825
New York City Summer Dorms,"Conolly Hall, Long Island University",Brooklyn,40.6919,-73.9804
Dazzler Brooklyn,85 Flatbush Ave Extension,Brooklyn,40.6963,-73.9846
Midwood Suites Brooklyn,1078 East 15 Street,Brooklyn,40.6233,-73.9611
Comfort Inn Brooklyn,3218 Emmons Ave,Brooklyn,40.5842,-73.9324
The William Vale Hotel,111 North 12th Street,Brooklyn,40.7224,-73.9573
Sleep Inn Coney Island,2586 Stillwell Ave,Brooklyn,40.5846,-73.9830
Wyndham Garden Brooklyn Sunset Park,457 39th Street,Brooklyn,40.6518,-74.0047
Hipster's Cove Bed & Breakfast,1300 Sterling Place,Brooklyn,40.6717,-73.9355
EVEN Hotel Brooklyn,46 Nevins Street,Brooklyn,40.6875,-73.9817
Hilton Brooklyn New York,140 Schermerhorn Street,Brooklyn,40.6898,-73.9881
1 Hotel Brooklyn Bridge,60 Furman Street,Brooklyn,40.7016,-73.9955
The Justice Manor,154 Washington Ave,Brooklyn,40.6941,-73.9670
Your NYC Vacation,61 Jefferson Avenue,Brooklyn,40.6827,-73.9548
Howard Johnson Brooklyn,524 Rockaway Avenue,Brooklyn,40.6671,-73.9104
La Quinta Inn & Suites Brooklyn - Williamsburg,437 Union Avenue,Brooklyn,40.7132,-73.9515
Franklin Guesthouse,214 Franklin Street,Brooklyn,40.7331,-73.9581
Bogart Hotel,19 Bogart Street,Brooklyn,40.7039,-73.9332
Hotel RL by Red Lion Brooklyn,1080 Broadway,Brooklyn,40.6943,-73.9311
La Quinta Inn & Suites Brooklyn Central,1229 Atlantic Avenue,Brooklyn,40.6786,-73.9502
Illumination Bed & Breakfast,138 Saint James Place,Brooklyn,40.6858,-73.9646
Bright 3BR in Williamsburg by Sonder,Grand Street and Humboldt St,Brooklyn,40.7118,-73.9422
Holiday Inn Express & Suites Buffalo Downtown,601 Main St,Buffalo,42.8902,-78.8730
Best Western on the Avenue,510 Delaware Ave,Buffalo,42.8983,-78.8744
DoubleTree Club by Hilton Buffalo Downtown,125 High St,Buffalo,42.9003,-78.8646
Embassy Suites Buffalo,200 Delaware Avenue,Buffalo,42.8899,-78.8770
Hampton Inn & Suites Buffalo Downtown,220 Delaware Ave,Buffalo,42.8905,-78.8769
Hotel @ The Lafayette,391 Washington St,Buffalo,42.8849,-78.8735
